T001 | Profundidade e Sem Preservação
T125 | Distância Máxima, Objetos Vistos, Ruas Vistas e Preservando Maior Isovista
T126 | Distância Máxima, Objetos Vistos, Ruas Vistas e Preservando Profundidade
T127 | Distância Máxima, Objetos Vistos, Ruas Vistas, Profundidade e Sem Preservação
T128 | Distância Máxima, Objetos Vistos, Ruas Vistas, Profundidade e Preservando Maior Isovista
T129 | Distância Máxima, Objetos Vistos, Ruas Vistas, Profundidade e Preservando Profundidade
T130 | Distância Máxima, Objetos Vistos, Prédios Vistos e Sem Preservação
T131 | Distância Máxima, Objetos Vistos, Prédios Vistos e Preservando Maior Isovista
T132 | Distância Máxima, Objetos Vistos, Prédios Vistos e Preservando Profundidade
T133 | Distância Máxima, Objetos Vistos, Prédios Vistos, Profundidade e Sem Preservação
T134 | Distância Máxima, Objetos Vistos, Prédios Vistos, Profundidade e Preservando Maior Isovista
T135 | Distância Máxima, Objetos Vistos, Prédios Vistos, Profundidade e Preservando Profundidade
T136 | Distância Máxima, Objetos Vistos, Prédios Vistos, Ruas Vistas e Sem Preservação
T137 | Distância Máxima, Objetos Vistos, Prédios Vistos, Ruas Vistas e Preservando Maior Isovista
T138 | Distância Máxima, Objetos Vistos, Prédios Vistos, Ruas Vistas e Preservando Profundidade
T139 | Distância Máxima, Objetos Vistos, Prédios Vistos, Ruas Vistas, Profundidade e Sem Preservação
T140 | Distância Máxima, Objetos Vistos, Prédios Vistos, Ruas Vistas, Profundidade e Preservando Maior Isovista
T141 | Distância Máxima, Objetos Vistos, Prédios Vistos, Ruas Vistas, Profundidade e Preservando Profundidade
T142 | Distância Máxima, Área Vista e Sem Preservação
T143 | Distância Máxima, Área Vista e Preservando Maior Isovista
T144 | Distância Máxima, Área Vista e Preservando Profundidade
T145 | Distância Máxima, Área Vista, Profundidade e Sem Preservação
T146 | Distância Máxima, Área Vista, Profundidade e Preservando Maior Isovista
T147 | Distância Máxima, Área Vista, Profundidade e Preservando Profundidade
T148 | Distância Máxima, Área Vista, Ruas Vistas e Sem Preservação
T149 | Distância Máxima, Área Vista, Ruas Vistas e Preservando Maior Isovista
T150 | Distância Máxima, Área Vista, Ruas Vistas e Preservando Profundidade
T151 | Distância Máxima, Área Vista, Ruas Vistas, Profundidade e Sem Preservação
T152 | Distância Máxima, Área Vista, Ruas Vistas, Profundidade e Preservando Maior Isovista
T153 | Distância Máxima, Área Vista, Ruas Vistas, Profundidade e Preservando Profundidade
T154 | Distância Máxima, Área Vista, Prédios Vistos e Sem Preservação
T155 | Distância Máxima, Área Vista, Prédios Vistos e Preservando Maior Isovista
T156 | Distância Máxima, Área Vista, Prédios Vistos e Preservando Profundidade
T157 | Distância Máxima, Área Vista, Prédios Vistos, Profundidade e Sem Preservação
T158 | Distância Máxima, Área Vista, Prédios Vistos, Profundidade e Preservando Maior Isovista
T159 | Distância Máxima, Área Vista, Prédios Vistos, Profundidade e Preservando Profundidade
T160 | Distância Máxima, Área Vista, Prédios Vistos, Ruas Vistas e Sem Preservação
T161 | Distância Máxima, Área Vista, Prédios Vistos, Ruas Vistas e Preservando Maior Isovista
T162 | Distância Máxima, Área Vista, Prédios Vistos, Ruas Vistas e Preservando Profundidade
T163 | Distância Máxima, Área Vista, Prédios Vistos, Ruas Vistas, Profundidade e Sem Preservação
T164 | Distância Máxima, Área Vista, Prédios Vistos, Ruas Vistas, Profundidade e Preservando Maior Isovista
T165 | Distância Máxima, Área Vista, Prédios Vistos, Ruas Vistas, Profundidade e Preservando Profundidade
T166 | Distância Máxima, Área Vista, Objetos Vistos e Sem Preservação
T167 | Distância Máxima, Área Vista, Objetos Vistos e Preservando Maior Isovista
T168 | Distância Máxima, Área Vista, Objetos Vistos e Preservando Profundidade
T169 | Distância Máxima, Área Vista, Objetos Vistos, Profundidade e Sem Preservação
T170 | Distância Máxima, Área Vista, Objetos Vistos, Profundidade e Preservando Maior Isovista
T171 | Distância Máxima, Área Vista, Objetos Vistos, Profundidade e Preservando Profundidade
T172 | Distância Máxima, Área Vista, Objetos Vistos, Ruas Vistas e Sem Preservação
T173 | Distância Máxima, Área Vista, Objetos Vistos, Ruas Vistas e Preservando Maior Isovista
T174 | Distância Máxima, Área Vista, Objetos Vistos, Ruas Vistas e Preservando Profundidade
T175 | Distância Máxima, Área Vista, Objetos Vistos, Ruas Vistas, Profundidade e Sem Preservação
T176 | Distância Máxima, Área Vista, Objetos Vistos, Ruas Vistas, Profundidade e Preservando Maior Isovista
T177 | Distância Máxima, Área Vista, Objetos Vistos, Ruas Vistas, Profundidade e Preservando Profundidade
T178 | Distância Máxima, Área Vista, Objetos Vistos, Prédios Vistos e Sem Preservação
T179 | Distância Máxima, Área Vista, Objetos Vistos, Prédios Vistos e Preservando Maior Isovista
T180 | Distância Máxima, Área Vista, Objetos Vistos, Prédios Vistos e Preservando Profundidade
T181 | Distância Máxima, Área Vista, Objetos Vistos, Prédios Vistos, Profundidade e Sem Preservação
T182 | Distância Máxima, Área Vista, Objetos Vistos, Prédios Vistos, Profundidade e Preservando Maior Isovista
T183 | Distância Máxima, Área Vista, Objetos Vistos, Prédios Vistos, Profundidade e Preservando Profundidade
T184 | Distância Máxima, Área Vista, Objetos Vistos, Prédios Vistos, Ruas Vistas e Sem Preservação
T185 | Distância Máxima, Área Vista, Objetos Vistos, Prédios Vistos, Ruas Vistas e Preservando Maior Isovista
T186 | Distância Máxima, Área Vista, Objetos Vistos, Prédios Vistos, Ruas Vistas e Preservando Profundidade
